,Name,Succ,Fail,Send Rate (TPS),Max Latency (s),Min Latency (s),Avg Latency (s),Throughput (TPS),Rate
0,open,1000,0,499.3,4.63,1.84,3.25,185.4,500
1,query,1000,0,498.5,0.02,0.0,0.0,498.0,500
2,transfer,1000,0,498.8,4.71,1.93,3.1,212.2,500
0,open,1000,0,499.3,5.11,1.29,3.08,173.9,500
1,query,1000,0,500.0,0.01,0.0,0.0,499.0,500
2,transfer,1000,0,498.0,2.79,0.74,2.04,248.8,500
0,open,1000,0,493.8,5.67,2.2,3.97,151.0,500
1,query,1000,0,492.6,0.04,0.0,0.0,492.1,500
2,transfer,1000,0,478.7,4.18,1.71,2.88,219.4,500
0,open,1000,0,491.6,3.52,2.05,2.85,223.5,500
1,query,1000,0,498.3,0.02,0.0,0.0,497.8,500
2,transfer,1000,0,475.7,3.68,1.69,3.05,193.9,500
0,open,1000,0,599.2,4.05,1.82,3.16,210.4,600
1,query,1000,0,592.4,0.03,0.0,0.0,591.7,600
2,transfer,1000,0,583.1,5.17,1.48,3.38,173.0,600
0,open,1000,0,598.8,4.16,1.53,2.85,182.3,600
1,query,1000,0,588.6,0.02,0.0,0.0,587.9,600
2,transfer,1000,0,591.0,3.93,1.6,3.08,202.7,600
0,open,1000,0,601.7,4.79,1.87,3.31,159.0,600
1,query,1000,0,595.6,0.01,0.0,0.0,594.9,600
2,transfer,1000,0,582.1,3.97,0.58,2.73,200.8,600
0,open,1000,0,592.1,6.02,2.14,4.35,150.4,600
1,query,1000,0,596.7,0.02,0.0,0.0,595.6,600
2,transfer,1000,0,585.5,5.23,2.27,3.13,168.9,600
0,open,1000,0,595.2,4.38,1.86,3.31,187.6,600
1,query,1000,0,583.4,0.02,0.0,0.0,582.1,600
2,transfer,1000,0,591.7,3.83,1.42,3.12,209.3,600
0,open,1000,0,692.0,4.43,2.0,3.42,194.1,700
1,query,1000,0,698.3,0.02,0.0,0.0,697.4,700
2,transfer,1000,0,662.7,5.09,1.98,3.05,181.9,700
0,open,1000,0,674.3,9.43,2.95,5.87,92.0,700
1,query,1000,0,685.4,0.05,0.0,0.0,684.5,700
2,transfer,1000,0,695.9,7.23,2.52,4.59,127.5,700
0,open,1000,0,702.2,7.16,1.8,4.97,119.0,700
1,query,1000,0,672.5,0.36,0.0,0.05,671.1,700
2,transfer,1000,0,611.6,8.59,4.07,5.82,102.4,700
0,open,1000,0,701.8,5.18,2.63,3.93,168.8,700
1,query,1000,0,678.0,0.03,0.0,0.0,677.0,700
2,transfer,1000,0,691.6,10.5,3.95,5.84,88.2,700
0,open,1000,0,699.8,7.16,2.56,4.57,122.5,700
1,query,1000,0,697.8,0.02,0.0,0.0,696.9,700
2,transfer,1000,0,663.6,8.21,1.76,5.13,108.7,700
0,open,1000,0,794.3,6.1,2.15,4.5,148.3,800
1,query,1000,0,800.0,0.02,0.0,0.0,799.4,800
2,transfer,1000,0,307.8,5.18,2.67,4.13,168.8,800
0,open,1000,0,786.8,5.84,1.94,4.51,155.6,800
1,query,1000,0,794.9,0.03,0.0,0.0,793.7,800
2,transfer,1000,0,802.6,7.38,2.93,5.18,127.2,800
0,open,1000,0,794.3,5.15,2.13,3.68,173.1,800
1,query,1000,0,791.1,0.03,0.0,0.0,789.9,800
2,transfer,1000,0,799.4,5.66,0.18,4.52,163.6,800
0,open,1000,0,800.6,5.03,1.99,3.55,183.5,800
1,query,1000,0,796.8,0.02,0.0,0.0,791.1,800
2,transfer,1000,0,796.2,5.91,1.5,3.92,158.0,800
0,open,1000,0,801.9,4.64,1.58,2.9,195.4,800
1,query,1000,0,791.8,0.01,0.0,0.0,791.1,800
2,transfer,1000,0,801.3,3.57,1.95,2.92,232.1,800
0,open,1000,0,888.1,4.81,2.09,3.95,183.0,900
1,query,1000,0,887.3,0.01,0.0,0.0,885.7,900
2,transfer,1000,0,891.3,4.21,1.77,3.16,215.4,900
0,open,1000,0,888.9,4.24,2.06,3.18,205.4,900
1,query,1000,0,891.3,0.02,0.0,0.0,890.5,900
2,transfer,1000,0,893.7,7.04,1.07,4.52,125.7,900
0,open,1000,0,883.4,4.9,1.61,2.9,204.2,900
1,query,1000,0,894.5,0.03,0.0,0.0,892.9,900
2,transfer,1000,0,856.2,6.23,0.75,4.11,142.7,900
0,open,1000,0,878.7,5.52,1.91,3.71,165.9,900
1,query,1000,0,888.1,0.03,0.0,0.0,886.5,900
2,transfer,1000,0,879.5,3.96,0.23,3.44,226.3,900
0,open,1000,0,898.5,3.7,1.32,2.76,237.3,900
1,query,1000,0,895.3,0.02,0.0,0.0,893.7,900
2,transfer,1000,0,849.6,5.68,2.13,4.19,165.4,900
0,open,1000,0,100.4,1.69,0.22,0.86,93.1,100
1,query,1000,0,100.4,0.05,0.0,0.0,100.4,100
2,transfer,1000,0,100.4,1.42,0.14,0.84,95.6,100
0,open,1000,0,100.5,1.29,0.18,0.75,92.3,100
1,query,1000,0,100.3,0.02,0.0,0.0,100.3,100
2,transfer,1000,0,100.3,1.35,0.14,0.77,95.2,100
0,open,1000,0,100.5,1.22,0.16,0.69,92.8,100
1,query,1000,0,100.3,0.01,0.0,0.0,100.3,100
2,transfer,1000,0,100.4,1.32,0.11,0.73,95.2,100
0,open,1000,0,100.4,1.25,0.17,0.71,92.5,100
1,query,1000,0,100.3,0.02,0.0,0.0,100.3,100
2,transfer,1000,0,100.3,1.27,0.1,0.73,95.5,100
0,open,1000,0,100.4,1.23,0.15,0.7,92.6,100
1,query,1000,0,100.3,0.02,0.0,0.0,100.3,100
2,transfer,1000,0,100.5,1.27,0.16,0.75,95.1,100
0,open,1000,0,974.7,6.01,1.9,4.2,165.2,1000
1,query,1000,0,998.0,0.04,0.0,0.0,996.0,1000
2,transfer,1000,0,945.2,5.29,1.58,4.16,183.7,1000
0,open,1000,0,999.0,4.74,1.97,3.5,210.3,1000
1,query,1000,0,995.0,0.06,0.0,0.0,993.0,1000
2,transfer,1000,0,958.8,5.14,1.6,3.7,171.5,1000
0,open,1000,0,995.0,3.65,1.58,2.88,240.6,1000
1,query,1000,0,993.0,0.04,0.0,0.0,991.1,1000
2,transfer,1000,0,972.8,5.13,2.04,4.06,193.1,1000
0,open,1000,0,993.0,6.42,1.44,3.84,154.1,1000
1,query,1000,0,974.7,0.03,0.0,0.0,972.8,1000
2,transfer,1000,0,925.9,4.5,1.4,3.25,197.0,1000
0,open,1000,0,993.0,6.74,1.99,4.58,147.2,1000
1,query,1000,0,995.0,0.02,0.0,0.0,992.1,1000
2,transfer,1000,0,955.1,6.56,1.15,3.49,147.3,1000
0,open,1000,0,200.4,1.63,0.35,0.98,170.0,200
1,query,1000,0,199.8,0.02,0.0,0.0,199.7,200
2,transfer,1000,0,200.8,1.59,0.12,0.95,178.6,200
0,open,1000,0,200.4,1.5,0.29,0.92,171.2,200
1,query,1000,0,200.0,0.01,0.0,0.0,200.0,200
2,transfer,1000,0,200.8,1.71,0.18,1.01,178.8,200
0,open,1000,0,200.3,1.68,0.28,0.96,170.8,200
1,query,1000,0,200.2,0.01,0.0,0.0,200.1,200
2,transfer,1000,0,200.3,1.66,0.18,0.97,176.9,200
0,open,1000,0,200.2,1.52,0.22,0.9,171.4,200
1,query,1000,0,200.3,0.02,0.0,0.0,200.2,200
2,transfer,1000,0,199.6,1.62,0.23,0.96,178.1,200
0,open,1000,0,200.5,1.62,0.3,0.97,171.9,200
1,query,1000,0,200.4,0.01,0.0,0.0,200.4,200
2,transfer,1000,0,200.6,1.6,0.15,1.0,177.3,200
0,open,1000,0,299.9,1.82,0.38,1.17,240.0,300
1,query,1000,0,296.7,0.02,0.0,0.0,296.6,300
2,transfer,1000,0,298.5,2.38,0.75,1.58,222.4,300
0,open,1000,0,301.1,2.04,0.72,1.27,237.1,300
1,query,1000,0,298.1,0.02,0.0,0.0,297.9,300
2,transfer,1000,0,297.2,2.4,0.6,1.58,223.2,300
0,open,1000,0,300.5,2.12,0.57,1.26,233.5,300
1,query,1000,0,299.6,0.02,0.0,0.0,299.4,300
2,transfer,1000,0,301.4,2.22,0.49,1.41,220.9,300
0,open,1000,0,299.9,2.46,0.71,1.52,211.9,300
1,query,1000,0,299.9,0.02,0.0,0.0,299.8,300
2,transfer,1000,0,299.3,3.76,0.23,2.21,192.6,300
0,open,1000,0,301.1,2.03,0.59,1.23,238.0,300
1,query,1000,0,298.7,0.01,0.0,0.0,298.6,300
2,transfer,1000,0,301.2,2.2,0.52,1.36,226.7,300
0,open,1000,0,399.2,2.99,0.93,1.92,224.1,400
1,query,1000,0,397.0,0.02,0.0,0.0,396.7,400
2,transfer,1000,0,393.5,6.13,2.8,4.41,131.9,400
0,open,1000,0,391.8,3.84,1.07,2.43,214.9,400
1,query,1000,0,400.2,0.01,0.0,0.0,400.0,400
2,transfer,1000,0,398.4,3.93,1.69,3.03,176.1,400
0,open,1000,0,400.0,3.66,1.25,2.01,220.6,400
1,query,1000,0,399.4,0.01,0.0,0.0,399.2,400
2,transfer,1000,0,396.2,3.07,1.82,2.52,213.7,400
0,open,1000,0,393.5,3.89,1.31,2.4,206.2,400
1,query,1000,0,398.7,0.02,0.0,0.0,398.4,400
2,transfer,1000,0,399.0,3.26,1.61,2.52,200.7,400
0,open,1000,0,397.6,3.39,1.17,2.27,204.2,400
1,query,1000,0,393.9,0.01,0.0,0.0,393.4,400
2,transfer,1000,0,401.0,2.36,0.89,1.7,232.6,400
0,open,1000,0,496.5,3.44,2.0,2.83,206.3,500
1,query,1000,0,495.8,0.02,0.0,0.0,495.3,500
2,transfer,1000,0,485.9,4.31,1.69,3.03,184.9,500
0,open,1000,0,486.6,4.19,1.49,2.79,202.8,500
1,query,1000,0,502.0,0.01,0.0,0.0,501.5,500
2,transfer,1000,0,499.5,4.5,0.5,3.09,178.9,500
0,open,1000,0,502.8,6.02,1.84,3.38,154.2,500
1,query,1000,0,500.0,0.01,0.0,0.0,499.8,500
2,transfer,1000,0,497.0,3.96,1.43,2.86,176.9,500
0,open,1000,0,499.8,5.8,1.73,3.56,156.6,500
1,query,1000,0,500.0,0.01,0.0,0.0,499.5,500
2,transfer,1000,0,500.8,4.67,1.67,3.2,181.5,500
0,open,1000,0,498.5,3.54,1.49,2.71,214.5,500
1,query,1000,0,496.0,0.01,0.0,0.0,495.5,500
2,transfer,1000,0,500.5,5.05,1.63,3.19,188.3,500
0,open,1000,0,578.0,3.92,1.48,2.97,215.7,600
1,query,1000,0,598.4,0.01,0.0,0.0,597.0,600
2,transfer,1000,0,602.8,5.01,1.68,3.48,171.1,600
0,open,1000,0,598.4,5.37,1.42,3.32,171.0,600
1,query,1000,0,598.4,0.02,0.0,0.0,597.7,600
2,transfer,1000,0,598.4,4.7,1.33,3.12,165.3,600
0,open,1000,0,602.0,6.39,1.37,3.67,155.1,600
1,query,1000,0,595.9,0.02,0.0,0.0,595.2,600
2,transfer,1000,0,592.1,5.03,1.46,3.58,164.0,600
0,open,1000,0,600.6,6.0,1.56,3.95,160.8,600
1,query,1000,0,594.5,0.02,0.0,0.0,593.8,600
2,transfer,1000,0,590.3,4.58,0.93,3.17,177.8,600
0,open,1000,0,601.3,3.16,1.13,2.52,210.7,600
1,query,1000,0,586.5,0.02,0.0,0.0,585.8,600
2,transfer,1000,0,554.0,5.23,2.31,3.25,168.1,600
0,open,1000,0,692.0,5.03,1.74,3.49,177.7,700
1,query,1000,0,696.4,0.01,0.0,0.0,695.4,700
2,transfer,1000,0,702.7,4.67,0.3,3.32,176.7,700
0,open,1000,0,698.3,3.44,1.09,2.57,219.6,700
1,query,1000,0,697.8,0.02,0.0,0.0,697.4,700
2,transfer,1000,0,689.7,6.57,0.07,5.21,151.6,700
0,open,1000,0,699.8,6.86,2.09,4.35,144.5,700
1,query,1000,0,685.4,0.01,0.0,0.0,684.5,700
2,transfer,1000,0,694.0,4.45,1.96,3.16,193.6,700
0,open,1000,0,694.0,3.68,1.81,2.64,226.8,700
1,query,1000,0,686.3,0.02,0.0,0.0,684.9,700
2,transfer,1000,0,689.2,4.8,0.84,3.1,184.7,700
0,open,1000,0,694.4,6.11,2.49,4.03,148.5,700
1,query,1000,0,695.4,0.04,0.0,0.0,694.4,700
2,transfer,1000,0,680.7,6.16,2.48,4.7,144.9,700
0,open,1000,0,798.1,5.4,1.86,3.64,183.8,800
1,query,1000,0,797.4,0.01,0.0,0.0,796.2,800
2,transfer,1000,0,798.1,5.5,1.66,3.52,158.4,800
0,open,1000,0,800.6,4.85,2.05,3.36,184.4,800
1,query,1000,0,789.3,0.02,0.0,0.0,787.4,800
2,transfer,1000,0,768.0,5.86,1.75,3.44,150.4,800
0,open,1000,0,793.0,5.96,1.76,3.88,153.4,800
1,query,1000,0,789.9,0.01,0.0,0.0,788.6,800
2,transfer,1000,0,793.0,4.45,0.92,3.27,189.3,800
0,open,1000,0,791.1,5.11,2.25,3.59,193.3,800
1,query,1000,0,796.2,0.01,0.0,0.0,794.9,800
2,transfer,1000,0,801.3,5.28,2.2,3.94,164.1,800
0,open,1000,0,781.9,3.9,1.79,2.81,218.2,800
1,query,1000,0,785.5,0.03,0.0,0.0,784.3,800
2,transfer,1000,0,785.5,5.41,1.15,3.52,175.6,800
0,open,1000,0,892.1,7.67,2.27,5.47,127.8,900
1,query,1000,0,888.1,0.03,0.0,0.0,884.2,900
2,transfer,1000,0,900.1,4.11,0.79,3.1,207.3,900
0,open,1000,0,892.1,4.38,1.76,2.91,214.1,900
1,query,1000,0,887.3,0.02,0.0,0.0,885.7,900
2,transfer,1000,0,868.8,6.02,1.75,3.6,149.5,900
0,open,1000,0,881.1,4.7,1.59,3.09,183.0,900
1,query,1000,0,881.1,0.02,0.0,0.0,879.5,900
2,transfer,1000,0,891.3,5.28,1.8,3.9,175.7,900
0,open,1000,0,892.9,5.42,1.58,3.5,183.7,900
1,query,1000,0,892.1,0.03,0.0,0.0,890.5,900
2,transfer,1000,0,865.1,4.77,1.7,3.3,189.4,900
0,open,1000,0,894.5,5.42,1.6,3.39,184.2,900
1,query,1000,0,866.6,0.02,0.0,0.0,864.3,900
2,transfer,1000,0,899.3,4.48,1.62,2.97,214.4,900
0,open,1000,0,100.5,1.6,0.24,0.9,93.0,100
1,query,1000,0,100.2,0.04,0.0,0.0,100.1,100
2,transfer,1000,0,100.5,1.37,0.22,0.79,95.0,100
0,open,1000,0,100.5,1.29,0.19,0.74,93.0,100
1,query,1000,0,100.2,0.02,0.0,0.0,100.2,100
2,transfer,1000,0,100.3,1.31,0.13,0.75,96.1,100
0,open,1000,0,100.5,1.29,0.18,0.72,92.9,100
1,query,1000,0,100.3,0.02,0.0,0.0,100.3,100
2,transfer,1000,0,100.1,1.3,0.15,0.73,95.1,100
0,open,1000,0,100.5,1.25,0.19,0.72,92.5,100
1,query,1000,0,100.4,0.02,0.0,0.0,100.3,100
2,transfer,1000,0,100.4,1.28,0.13,0.74,95.0,100
0,open,1000,0,100.5,1.27,0.14,0.71,92.7,100
1,query,1000,0,100.2,0.03,0.0,0.0,100.2,100
2,transfer,1000,0,100.1,1.27,0.1,0.72,95.3,100
0,open,1000,0,985.2,7.01,1.87,4.69,142.6,1000
1,query,1000,0,995.0,0.04,0.0,0.0,994.0,1000
2,transfer,1000,0,999.0,8.29,1.61,6.49,116.6,1000
0,open,1000,0,885.7,5.23,1.35,3.38,186.0,1000
1,query,1000,0,992.1,0.04,0.0,0.0,990.1,1000
2,transfer,1000,0,936.3,4.1,1.97,3.25,221.0,1000
0,open,1000,0,989.1,5.04,1.67,3.71,171.1,1000
1,query,1000,0,991.1,0.02,0.0,0.0,989.1,1000
2,transfer,1000,0,990.1,6.38,1.75,4.97,144.8,1000
0,open,1000,0,1000.0,8.29,2.1,5.78,120.3,1000
1,query,1000,0,996.0,0.03,0.0,0.0,995.0,1000
2,transfer,1000,0,992.1,4.14,1.69,3.06,207.8,1000
0,open,1000,0,1001.0,6.26,1.78,4.26,158.6,1000
1,query,1000,0,980.4,0.03,0.0,0.0,978.5,1000
2,transfer,1000,0,945.2,5.36,2.09,4.14,172.6,1000
0,open,1000,0,200.2,1.56,0.34,0.9,171.8,200
1,query,1000,0,199.9,0.02,0.0,0.0,199.8,200
2,transfer,1000,0,200.1,1.59,0.18,1.01,179.1,200
0,open,1000,0,199.8,1.73,0.38,0.97,172.0,200
1,query,1000,0,200.5,0.01,0.0,0.0,200.4,200
2,transfer,1000,0,200.2,1.71,0.18,1.04,179.0,200
0,open,1000,0,199.9,1.5,0.27,0.91,170.9,200
1,query,1000,0,200.3,0.03,0.0,0.0,200.2,200
2,transfer,1000,0,199.8,1.63,0.18,1.01,179.5,200
0,open,1000,0,200.6,1.64,0.33,0.97,170.9,200
1,query,1000,0,200.7,0.02,0.0,0.0,200.6,200
2,transfer,1000,0,200.4,1.64,0.16,1.0,177.5,200
0,open,1000,0,200.0,1.46,0.3,0.89,171.3,200
1,query,1000,0,200.7,0.03,0.0,0.0,200.6,200
2,transfer,1000,0,200.4,1.65,0.21,1.02,179.8,200
0,open,1000,0,298.2,2.17,0.56,1.42,228.4,300
1,query,1000,0,298.2,0.01,0.0,0.0,298.0,300
2,transfer,1000,0,298.9,2.57,0.35,1.72,207.4,300
0,open,1000,0,301.5,1.92,0.44,1.24,236.9,300
1,query,1000,0,299.9,0.01,0.0,0.0,299.8,300
2,transfer,1000,0,296.9,2.22,0.49,1.53,220.2,300
0,open,1000,0,300.8,2.31,0.74,1.55,216.0,300
1,query,1000,0,299.8,0.01,0.0,0.0,299.7,300
2,transfer,1000,0,299.9,2.72,0.17,1.77,211.0,300
0,open,1000,0,299.5,2.01,0.49,1.25,238.7,300
1,query,1000,0,297.7,0.04,0.0,0.0,297.5,300
2,transfer,1000,0,298.2,2.42,0.61,1.59,218.0,300
0,open,1000,0,300.8,2.6,0.74,1.68,216.8,300
1,query,1000,0,300.6,0.01,0.0,0.0,300.4,300
2,transfer,1000,0,299.7,2.83,0.19,1.82,201.5,300
0,open,1000,0,398.1,3.23,1.03,1.92,206.1,400
1,query,1000,0,397.6,0.01,0.0,0.0,397.3,400
2,transfer,1000,0,395.3,2.99,1.14,2.1,218.3,400
0,open,1000,0,398.4,4.23,1.2,2.36,208.2,400
1,query,1000,0,397.1,0.01,0.0,0.0,397.0,400
2,transfer,1000,0,397.8,3.55,1.78,2.66,194.4,400
0,open,1000,0,400.2,3.73,0.92,2.33,186.9,400
1,query,1000,0,394.8,0.02,0.0,0.0,394.5,400
2,transfer,1000,0,400.5,3.35,0.47,2.48,186.3,400
0,open,1000,0,399.7,2.48,1.06,1.81,252.0,400
1,query,1000,0,399.5,0.01,0.0,0.0,399.2,400
2,transfer,1000,0,400.5,3.27,1.1,2.37,206.3,400
0,open,1000,0,399.5,3.24,1.19,2.11,223.3,400
1,query,1000,0,399.8,0.01,0.0,0.0,399.5,400
2,transfer,1000,0,401.6,5.29,0.25,3.16,150.9,400
0,open,1000,0,497.0,3.51,1.67,2.62,214.0,500
1,query,1000,0,493.8,0.02,0.0,0.0,493.3,500
2,transfer,1000,0,493.6,3.34,1.42,2.54,205.2,500
0,open,1000,0,502.3,4.85,1.98,3.34,154.9,500
1,query,1000,0,495.0,0.01,0.0,0.0,494.6,500
2,transfer,1000,0,495.3,5.06,1.79,3.51,145.1,500
0,open,1000,0,500.3,4.52,1.33,3.07,189.8,500
1,query,1000,0,494.1,0.01,0.0,0.0,493.6,500
2,transfer,1000,0,495.3,3.49,1.71,2.72,193.4,500
0,open,1000,0,500.8,4.53,1.84,2.94,188.7,500
1,query,1000,0,495.3,0.01,0.0,0.0,494.8,500
2,transfer,1000,0,488.5,4.38,1.88,2.98,192.0,500
0,open,1000,0,499.5,4.69,1.82,3.4,168.7,500
1,query,1000,0,499.5,0.01,0.0,0.0,498.8,500
2,transfer,1000,0,500.3,4.58,0.44,2.7,208.1,500
0,open,1000,0,603.1,3.27,1.92,2.69,220.0,600
1,query,1000,0,587.9,0.13,0.0,0.01,587.2,600
2,transfer,1000,0,573.7,4.14,1.64,2.99,183.4,600
0,open,1000,0,598.1,6.32,1.91,3.41,146.7,600
